"period","sex","age_label","age_start","open_interval","mx","qx","lx","ex"
"2022-2024","male","55",55,FALSE,0.00628079685637887,0.00626131827195178,91735.9460533172,24.2385890680648
"2022-2024","male","56",56,FALSE,0.00700203068057659,0.00697764684208762,91161.5580980988,23.3881308912628
"2022-2024","male","57",57,FALSE,0.00784794291099291,0.0078181312104091,90525.4649401158,22.5489519096125
"2022-2024","male","58",58,FALSE,0.00867876020164365,0.00864193250294044,89817.7249773307,21.7225805589536
"2022-2024","male","59",59,FALSE,0.00960202721193197,0.00955661318083944,89041.5262605089,20.9075052365494
"2022-2024","male","60",60,FALSE,0.0106039466540764,0.0105479048413831,88190.5908370057,20.1043645008232
"2022-2024","male","61",61,FALSE,0.0119145905025982,0.0118445605337803,87260.3648769516,19.3133650330801
"2022-2024","male","62",62,FALSE,0.0132393922493937,0.0131531887800035,86226.8042029668,18.5388269559528
"2022-2024","male","63",63,FALSE,0.014729586179858,0.0146217676254392,85092.6467693888,17.7791911484185
"2022-2024","male","64",64,FALSE,0.0158893587175348,0.0157624797806946,83848.4418616932,17.0356016197666
"2022-2024","male","65",65,FALSE,0.0176744854225585,0.0175203446679907,82526.7824922055,16.3005234424583
"2022-2024","male","66",66,FALSE,0.0195207064490903,0.0193342107322236,81080.8848186017,15.58225093827
"2022-2024","male","67",67,FALSE,0.0218955847617549,0.0216610860982509,79513.2499051638,14.8794878296522
"2022-2024","male","68",68,FALSE,0.0237667170579208,0.0234900126223523,77790.9065530163,14.1977360738836
"2022-2024","male","69",69,FALSE,0.025905049045393,0.0255707230660112,75963.5971761817,13.5271310716878
"2022-2024","male","70",70,FALSE,0.028036732174874,0.0276467144650281,74021.1530696915,12.8691093254158
"2022-2024","male","71",71,FALSE,0.0312405195229232,0.0307635130325156,71974.7113864016,12.220887672045
"2022-2024","male","72",72,FALSE,0.0343489474243505,0.0337738322980907,69760.5164146545,11.592791504457
"2022-2024","male","73",73,FALSE,0.0382486721485913,0.0375396320021775,67404.4364322377,10.9803844799465
"2022-2024","male","74",74,FALSE,0.0413704553822351,0.0405285062903806,64874.0986932574,10.3889182902921
"2022-2024","male","75",75,FALSE,0.0455459723518829,0.0445211912002954,62244.8483762849,9.80672152340338
"2022-2024","male","76",76,FALSE,0.0501219274470737,0.0488957919401447,59473.6335804909,9.24062508896255
"2022-2024","male","77",77,FALSE,0.0562236520473042,0.0546900248168188,56565.6231670148,8.68999219507418
"2022-2024","male","78",78,FALSE,0.0629011876967488,0.0609994700168619,53472.047832232,8.16374486534412
"2022-2024","male","79",79,FALSE,0.0700550547283849,0.0676767802226255,50210.2812537495,7.6613143977338
"2022-2024","male","80",80,FALSE,0.0781081371437451,0.0751612713315116,46812.2110844233,7.18126815390657
"2022-2024","male","81",81,FALSE,0.0873481087753003,0.0837314176728481,43293.745785479,6.72441149674379
"2022-2024","male","82",82,FALSE,0.0978234514907531,0.0932173137987887,39668.6990744929,6.29271492696436
"2022-2024","male","83",83,FALSE,0.108276382285662,0.102761233425108,35970.8895048762,5.88873303362884
"2022-2024","male","84",84,FALSE,0.119032858581178,0.11228225506885,32274.4765319569,5.50541178237792
"2022-2024","male","85",85,FALSE,0.130766178671359,0.122622173755577,28650.6255257821,5.13916040266905
"2022-2024","male","86",86,FALSE,0.144111760535269,0.134148821654532,25137.4235443536,4.78863200688767
"2022-2024","male","87",87,FALSE,0.161161589551486,0.149154360113089,21765.2677964477,4.4554601569609
"2022-2024","male","88",88,FALSE,0.179614821808633,0.165151647254217,18518.8832055785,4.14877185614601
"2022-2024","male","89",89,FALSE,0.200585703149784,0.182472863262548,15460.4591388688,3.86812182755635
"2022-2024","male","90",90,FALSE,0.219958276617114,0.197643885454793,12639.3448924458,3.61874419795248
"2022-2024","male","91",91,FALSE,0.242504043191773,0.215183248809027,10141.2556582996,3.39025582185167
"2022-2024","male","92",92,FALSE,0.266824235663151,0.234268757675868,7959.02731874376,3.18917379028666
"2022-2024","male","93",93,FALSE,0.29631905701496,0.256838191362981,6094.47587647336,3.01827143873499
"2022-2024","male","94",94,FALSE,0.321639762000998,0.275690136624508,4529.18171505463,2.89507493567288
"2022-2024","male","95",95,FALSE,0.349586045044446,0.296397381619565,3280.53098923399,2.81362378738934
"2022-2024","male","96",96,FALSE,0.368690090115532,0.308631073545028,2308.1901937032,2.79386587694255
"2022-2024","male","97",97,FALSE,0.396909067598564,0.327406069395906,1595.81097627447,2.83027509206803
"2022-2024","male","98",98,FALSE,0.400914526793544,0.330399171942525,1073.3327770336,2.98156976171274
"2022-2024","male","99",99,FALSE,0.383255142547817,0.315723409423704,718.70451628293,3.22200320953331
"2022-2024","male","100+",100,TRUE,0.285328185328185,1,491.792676033869,3.50473612990528
"2022-2024","female","0",0,FALSE,0.00865671398507558,0.00859426070196866,1e+05,80.7261979891912
"2022-2024","female","1",1,FALSE,0.000934938166135114,0.000934468474372223,99140.5739298031,80.4246024222674
"2022-2024","female","2",2,FALSE,0.00057339485951191,0.000573222393013272,99047.9301889346,79.4993944774932
"2022-2024","female","3",3,FALSE,0.000471600665661629,0.000471488419664756,98991.1536973687,78.5447188505739
"2022-2024","female","4",4,FALSE,0.000431391860731186,0.000431295770294335,98944.4805147511,77.5815356568996
"2022-2024","female","5",5,FALSE,0.000371987279129134,0.000371916733517122,98901.8061788111,76.6148020420941
"2022-2024","female","6",6,FALSE,0.000362925702669659,0.000362862136558879,98865.0229421182,75.643124631147
"2022-2024","female","7",7,FALSE,0.000353626396850423,0.00035356299700236,98829.1485686624,74.6703948392577
"2022-2024","female","8",8,FALSE,0.000340848504305688,0.000340791187759239,98794.2062387033,73.6966305256442
"2022-2024","female","9",9,FALSE,0.000329820932967834,0.00032976566001706,98760.5380438155,72.7215815582206
"2022-2024","female","10",10,FALSE,0.0003442580930721,0.0003441993067185,98727.9702098038,71.7454083148731
"2022-2024","female","11",11,FALSE,0.000339761530894788,0.000339703020508524,98693.9881109039,70.769938040928
"2022-2024","female","12",12,FALSE,0.000394419727779173,0.000394340146282316,98660.4614650366,69.7938194223547
"2022-2024","female","13",13,FALSE,0.000387575453881655,0.000387503039249213,98621.5556842302,68.8211601372613
"2022-2024","female","14",14,FALSE,0.000414062308849076,0.000413978907795087,98583.3395316671,67.8476381433371
"2022-2024","female","15",15,FALSE,0.000468659889037577,0.00046854886390619,98542.5281084409,66.8755246214845
"2022-2024","female","16",16,FALSE,0.000455385530218509,0.000455281372632069,98496.3561188493,65.9066420028732
"2022-2024","female","17",17,FALSE,0.000460747000815932,0.000460641987411254,98451.5125626362,64.9364350761387
"2022-2024","female","18",18,FALSE,0.000479516665867112,0.000479398387654997,98406.1616622257,63.9661284805767
"2022-2024","female","19",19,FALSE,0.000477851282402832,0.000477736603443701,98358.9859069895,62.996575598663
"2022-2024","female","20",20,FALSE,0.000472378120186619,0.000472266589312915,98311.9962191442,62.0264478920095
"2022-2024","female","21",21,FALSE,0.000456127663607341,0.000456022044475875,98265.5667480012,61.0555184785598
"2022-2024","female","22",22,FALSE,0.000459009112174148,0.000458902866599624,98220.7554833512,60.0831492752058
"2022-2024","female","23",23,FALSE,0.000452690107719152,0.000452589350559058,98175.6816971003,59.1105067234321
"2022-2024","female","24",24,FALSE,0.000461573112039693,0.000461466745502159,98131.2484290803,58.1370415035371
"2022-2024","female","25",25,FALSE,0.000460297676044476,0.000460193116261887,98085.9641212357,57.1636510710885
"2022-2024","female","26",26,FALSE,0.000478048880662295,0.000477931228620994,98040.8256357452,56.1897363578419
"2022-2024","female","27",27,FALSE,0.000481645988837765,0.000481532296429503,97993.9688634941,55.2163720952077
"2022-2024","female","28",28,FALSE,0.000488899405166345,0.000488780210789268,97946.781602631,54.242727770211
"2022-2024","female","29",29,FALSE,0.00047810855307342,0.000477992736526545,97898.9071540731,53.2690084088056
"2022-2024","female","30",30,FALSE,0.000485195972613269,0.000485076407284017,97852.1121875396,52.2942469180136
"2022-2024","female","31",31,FALSE,0.000498591765190883,0.00049846394600509,97804.6464365145,51.3193871688445
"2022-2024","female","32",32,FALSE,0.00052304528703952,0.000522908407655151,97755.8943465141,50.3447385662937
"2022-2024","female","33",33,FALSE,0.000564527317962248,0.000564365866543039,97704.7769674625,49.3708166784313
"2022-2024","female","34",34,FALSE,0.000597999813284953,0.0005978213809014,97649.6357263439,48.3984170870183
"2022-2024","female","35",35,FALSE,0.00063467147501412,0.000634469626660605,97591.2586862694,47.4270683845375
"2022-2024","female","36",36,FALSE,0.000660265491249151,0.000660050800876069,97529.3399968054,46.4568618883182
"2022-2024","female","37",37,FALSE,0.000712236449381392,0.00071199052347007,97464.9656778316,45.4872109159593
"2022-2024","female","38",38,FALSE,0.000755666227847447,0.000755387232211874,97395.5715458987,44.5192534894496
"2022-2024","female","39",39,FALSE,0.00079474461570769,0.000794431250503298,97322.0001746789,43.5525217131314
"2022-2024","female","40",40,FALSE,0.000858136869555029,0.000857777035292963,97244.6845363787,42.5867482535328
"2022-2024","female","41",41,FALSE,0.000935332379098999,0.00093491280977796,97161.2702791791,41.6228707165376
"2022-2024","female","42",42,FALSE,0.00103692368538641,0.00103639475184296,97070.4329629807,40.6613340964258
"2022-2024","female","43",43,FALSE,0.00110921931134933,0.00110859781776418,96969.8296756988,39.7029921679564
"2022-2024","female","44",44,FALSE,0.00119265437467177,0.00119192795213961,96862.3291341314,38.7465067589969
"2022-2024","female","45",45,FALSE,0.00128492849660325,0.0012841111199667,96746.876216527,37.7921613730169
"2022-2024","female","46",46,FALSE,0.00139538386842105,0.00139442499128421,96622.6424769554,36.8401042867571
"2022-2024","female","47",47,FALSE,0.00152046406605593,0.0015193003270826,96487.9094495616,35.8908385470145
"2022-2024","female","48",48,FALSE,0.00166685865562484,0.00166552285894471,96341.3153371753,34.944695418262
"2022-2024","female","49",49,FALSE,0.00183341463495996,0.00183175564336603,96180.8566742205,34.0021281256018
"2022-2024","female","50",50,FALSE,0.00202061338379091,0.00201857950399077,96004.6768472237,33.0635974211463
"2022-2024","female","51",51,FALSE,0.00218987929263269,0.00218752983895852,95810.8837742526,32.1294598558247
"2022-2024","female","52",52,FALSE,0.00239881941344619,0.00239598470182414,95601.2946070995,31.1987809892085
"2022-2024","female","53",53,FALSE,0.00260040297830299,0.0025970453051889,95372.2353677463,30.2724951355787
"2022-2024","female","54",54,FALSE,0.00285631423426698,0.00285227922981154,95124.5493516391,29.3500096529642
"2022-2024","female","55",55,FALSE,0.00312076878726722,0.003116017641954,94853.2275752782,28.4325197998973
"2022-2024","female","56",56,FALSE,0.00342646227135435,0.00342074748392079,94557.6632447574,27.5197943925769
"2022-2024","female","57",57,FALSE,0.00382395963213649,0.00381676769113216,94234.2053561274,26.6124968632701
"2022-2024","female","58",58,FALSE,0.00421140365491054,0.00420255240178011,93874.5352857247,25.7125163223916
"2022-2024","female","59",59,FALSE,0.00467198910655947,0.00466117330971133,93480.0226319936,24.8189208725985
"2022-2024","female","60",60,FALSE,0.00508421071776974,0.00507118753330192,93044.2960455102,23.9327907886576
"2022-2024","female","61",61,FALSE,0.00571657034079495,0.0057004586575803,92572.4509713593,23.0522545905651
"2022-2024","female","62",62,FALSE,0.00633525287815302,0.00631548644781046,92044.7455417662,22.1815178336703
"2022-2024","female","63",63,FALSE,0.00704453315944362,0.00701973130836621,91463.438198705,21.3192795242506
"2022-2024","female","64",64,FALSE,0.00760006535336276,0.00757126795512416,90821.3894380108,20.4664693631754
"2022-2024","female","65",65,FALSE,0.00845327283683025,0.00841767623175492,90133.7563625189,19.6187976357977
"2022-2024","female","66",66,FALSE,0.00946608876610776,0.00942215941392613,89375.0395839074,18.7811018554879
"2022-2024","female","67",67,FALSE,0.010736407677805,0.0106792812953251,88532.9337133218,17.9549166502524
"2022-2024","female","68",68,FALSE,0.0119061146710352,0.0118360207312524,87587.4656102969,17.1433157512283
"2022-2024","female","69",69,FALSE,0.0132589477775056,0.0131715893480608,86550.7785515356,16.3426347367384
"2022-2024","female","70",70,FALSE,0.0147011182784111,0.01459297440181,85410.7672386998,15.5540955354927
"2022-2024","female","71",71,FALSE,0.0167250836497256,0.0165882929906355,84164.3700987465,14.7770934486125
"2022-2024","female","72",72,FALSE,0.0188443858862527,0.0186700506020376,82768.2268681762,14.0178036555271
"2022-2024","female","73",73,FALSE,0.0214136650163028,0.0211920016962029,81222.9398843064,13.2748979841468
"2022-2024","female","74",74,FALSE,0.0237318924622452,0.0234545755934295,79501.6632045076,12.551235272434
"2022-2024","female","75",75,FALSE,0.0267861428475814,0.0264313893606338,77636.9854350741,11.8406378161268
"2022-2024","female","76",76,FALSE,0.030380769819964,0.0299294803129909,75584.9320442538,11.1485534925784
"2022-2024","female","77",77,FALSE,0.0350975225546068,0.0344917991797067,73322.7143086766,10.4769784591861
"2022-2024","female","78",78,FALSE,0.0402325854551603,0.0394501964891295,70793.6819714307,9.83340871207636
"2022-2024","female","79",79,FALSE,0.0462208536129935,0.0451883275118764,68000.8573074688,9.21644596529706
"2022-2024","female","80",80,FALSE,0.0530780579518045,0.0517185161113099,64928.0122963705,8.62870152219857
"2022-2024","female","81",81,FALSE,0.0611715690774743,0.0593901001589775,61570.0318463453,8.07177579757646
"2022-2024","female","82",82,FALSE,0.0698111170928612,0.0674634007974912,57913.3814881995,7.54924894699683
"2022-2024","female","83",83,FALSE,0.0799594992251546,0.0769219563587558,54006.347821323,7.05911006642624
"2022-2024","female","84",84,FALSE,0.0902460164790676,0.0863461198095362,49852.0738911155,6.60518211467825
"2022-2024","female","85",85,FALSE,0.101925107843729,0.0969501348479261,45547.5407461593,6.18220564266379
"2022-2024","female","86",86,FALSE,0.113028830465421,0.106940803190907,41131.7005288278,5.79261005149518
"2022-2024","female","87",87,FALSE,0.125973316816581,0.118472248930029,36733.0434376671,5.42682128355841
"2022-2024","female","88",88,FALSE,0.139740022018062,0.130763985640989,32381.1971715622,5.08930793480578
"2022-2024","female","89",89,FALSE,0.155865169202169,0.144654554336735,28146.9027695821,4.77838204243035
"2022-2024","female","90",90,FALSE,0.173059631329656,0.159179643946682,24075.3250934887,4.50146445813476
"2022-2024","female","91",91,FALSE,0.190996271691954,0.174060910099586,20243.0234172066,4.25973030739218
"2022-2024","female","92",92,FALSE,0.207956120294995,0.187878536033348,16719.5043380404,4.05405058770144
"2022-2024","female","93",93,FALSE,0.225870484572343,0.202426395000284,13578.2683398061,3.87946624060002
"2022-2024","female","94",94,FALSE,0.245500871028059,0.21784403272324,10829.6684294327,3.74042046238782
"2022-2024","female","95",95,FALSE,0.265997802573378,0.234070966942946,8470.4897857095,3.64770624773158
"2022-2024","female","96",96,FALSE,0.282616428973649,0.246302389296415,6487.79405108813,3.61356316013281
"2022-2024","female","97",97,FALSE,0.294194258417881,0.25482154055658,4889.83487504206,3.63813741456018
"2022-2024","female","98",98,FALSE,0.299088649920961,0.257800320889845,3643.79961911655,3.71987375599287
"2022-2024","female","99",99,FALSE,0.287509025270758,0.25025012072434,2704.42690805001,3.85060916094527
"2022-2024","female","100+",100,TRUE,0.251576926592924,1,2027.64374782034,3.97492732558139
